id,title,category,text,last_updated
hr-1,Employee Handbook 2024,HR,"Welcome to Nexus Solutions. This handbook outlines the policies and procedures that govern your employment relationship with us. Code of Conduct — All employees are expected to maintain the highest standards of professional conduct. Working Hours — Standard working hours are 9:00 AM to 6:00 PM, Monday through Friday. Benefits Overview — health, dental, and vision insurance; 401(k) plan with 4% company match; 20 days PTO annually; $1,200 annual wellness stipend. Remote Work — eligible employees may work remotely up to three days per week.",2024-03-15
hr-2,Remote Work Policy,HR,Nexus Solutions supports flexible work arrangements. Eligibility — employees who have completed their 90-day onboarding period may apply. Equipment — Nexus Solutions will provide a laptop and necessary peripherals. Communication Standards — remote employees must be reachable during core hours (10 AM–3 PM local time) via Slack and email. Security Requirements — all remote connections must use the company VPN.,2024-01-08
hr-3,PTO & Leave Guidelines,HR,Full-time employees accrue 1.67 days of PTO per month (20 days annually). Parental Leave — primary caregivers receive 16 weeks of fully paid parental leave. Sick Leave — employees receive 10 sick days per year. Requesting Time Off — all PTO requests must be submitted through Workday at least two weeks in advance for planned absences.,2024-02-20
hr-4,Performance Review Process,HR,"Performance reviews take place annually in December, with mid-year check-ins in June. Rating Scale — 5-point scale from 1 (Does Not Meet Expectations) to 5 (Outstanding). Goal Setting — each employee sets 3–5 SMART goals. Compensation Adjustments — merit increases take effect February 1st following the review.",2023-11-05
hr-5,Onboarding Checklist,HR,"New hire onboarding includes: completing I-9 verification, setting up Workday profile, attending orientation, meeting with IT for device provisioning, enrolling in benefits, completing mandatory compliance trainings within the first 30 days, and a 30-60-90 day check-in plan with your manager.",2024-04-01
it-1,VPN Setup Guide,IT,"Nexus Solutions uses Cisco AnyConnect VPN. Windows Installation — navigate to IT Self-Service portal, download installer, run with administrator privileges, enter server address vpn.nexussolutions.in, authenticate with SSO credentials. macOS — same steps via .dmg. Mobile Devices — install from App Store or Google Play and enroll in MDM program. Troubleshooting — contact helpdesk@nexussolutions.in or ext. 4357.",2024-04-02
it-2,IT Security Guidelines,IT,"Password Management — passwords must be at least 14 characters and changed every 90 days. Multi-Factor Authentication — MFA is mandatory for all corporate accounts. Phishing Awareness — report suspicious emails to security@nexussolutions.in. Data Classification — Public, Internal, Confidential, or Restricted. Restricted data must be encrypted at rest and in transit.",2024-03-30
it-3,Software Procurement Policy,IT,"Submit a Software Request via IT Service Desk portal. Approval Thresholds — requests under $500/year approved by direct managers; $500–$5,000 require VP-level approval; over $5,000 require CFO sign-off. Approved Vendors — pre-approved list on IT intranet. Open Source Software — copyleft licenses require Legal approval.",2023-12-12
it-4,Data Backup and Recovery,IT,All corporate data must be stored on company-managed drives or approved cloud services. Automatic backups run nightly for all shared drives. Recovery time objective (RTO) is 4 hours. Recovery point objective (RPO) is 24 hours. Employees must not store critical business data solely on local machines. Contact IT for backup restoration requests.,2024-02-14
fin-1,Expense Reimbursement Policy,Finance,Submit expense reports through Concur within 30 days of the expense date. Business meals: up to $75/person with clients. Air travel: economy class required; business class permitted for flights over 8 hours with VP+ approval. Hotel: up to $250/night standard markets. Itemized receipts required for all expenses over $25. Reimbursed within 5–7 business days.,2024-02-01
fin-2,Travel & Entertainment Policy,Finance,"All business travel must be booked through Concur Travel or the designated travel agency. Per Diem Rates — $75/day domestic, $90/day international. Client Entertainment — alcohol may be included at max 20% of total meal cost. International travel requires VP approval at least 10 business days before departure.",2024-01-15
fin-3,Budget Planning Guide FY2025,Finance,"FY2025 budget planning follows zero-based budgeting. Key Dates: Aug 1 templates distributed; Sep 15 initial submissions due; Nov 1 revised submissions; Dec 1 executive approval. Submissions must include headcount plans, OpEx by category, CapEx requests with ROI, and an executive summary. Variance reports submitted by the 10th of each month.",2024-07-03
fin-4,Procurement and Vendor Management,Finance,"All vendor contracts above $10,000 must be reviewed by Legal. Preferred vendor agreements are negotiated annually by the Procurement team. Purchase orders must be raised in the ERP system before any commitment to a vendor. Payment terms default to Net 30 unless otherwise negotiated. Vendor performance reviews are conducted quarterly for strategic suppliers.",2024-03-10
doc-014,Disciplinary Action Procedure,HR,"Progressive discipline steps include verbal warning, written warning, final written warning, and termination. All disciplinary actions must be documented in Workday HR. HR Business Partner must be involved at written warning stage and beyond. Employee has right to respond in writing at each stage.",2024-03-12
doc-015,Diversity and Inclusion Policy,HR,"Nexus Solutions is committed to equal opportunity employment. We prohibit discrimination based on race, color, religion, sex, national origin, age, disability, or veteran status. The D&I committee meets quarterly and publishes an annual report. Training on unconscious bias is mandatory for all managers.",2024-01-28
doc-016,Acceptable Use Policy,IT,"Company devices and networks must be used for legitimate business purposes. Personal use is permitted to a reasonable extent and must not impact productivity. Prohibited activities include: accessing illegal content, circumventing security controls, using company resources for personal profit.",2024-04-12
doc-017,Incident Response Plan,IT,"Cybersecurity incidents must be reported to the IT Security team immediately via security@nexussolutions.in. The incident response team will assess severity (P1–P4), contain the threat, eradicate the cause, recover systems, and conduct a post-incident review within 5 business days.",2024-06-15
doc-018,Accounts Payable Policy,Finance,"All invoices must be matched against purchase orders before payment. Three-way matching is required for amounts above $5,000. Payment runs occur twice weekly on Tuesday and Thursday. Late payment penalties are reviewed and approved by the Controller before payment.",2024-08-19
doc-019,Capitalization Policy,Finance,"Assets with a useful life greater than one year and cost exceeding $2,500 are capitalized. Depreciation is computed on a straight-line basis. Software development costs are capitalized when technological feasibility is established. Leases are evaluated under ASC 842 guidelines.",2024-08-10
